         215529 function calls (214454 primitive calls) in 1.613 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      289    0.002    0.000    0.059    0.000 mapcache.py:30(get)
        1    0.000    0.000    0.059    0.059 gameview.py:11(__init__)
        4    0.000    0.000    0.058    0.014 imagecache.py:18(get)
      284    0.001    0.000    0.057    0.000 mapcache.py:20(load)
        3    0.000    0.000    0.057    0.019 imagecache.py:36(getImage)
        3    0.001    0.000    0.057    0.019 imagecache.py:42(addImage)
        1    0.000    0.000    0.050    0.050 world.py:18(__init__)
        1    0.000    0.000    0.049    0.049 world.py:112(getSpawnLocation)
        1    0.003    0.003    0.046    0.046 world.py:1(<module>)
        1    0.001    0.001    0.039    0.039 type_check.py:3(<module>)
        1    0.004    0.004    0.039    0.039 __init__.py:15(<module>)
        1    0.001    0.001    0.035    0.035 parser.py:5(<module>)
        1    0.001    0.001    0.034    0.034 feedparser.py:20(<module>)
        1    0.032    0.032    0.032    0.032 {method 'tick' of 'Clock' objects}
        1    0.002    0.002    0.032    0.032 message.py:5(<module>)
        1    0.001    0.001    0.029    0.029 charset.py:6(<module>)
        1    0.000    0.000    0.028    0.028 base64mime.py:25(<module>)
       82    0.001    0.000    0.028    0.000 re.py:230(_compile)
       54    0.000    0.000    0.027    0.001 re.py:192(compile)
        1    0.006    0.006    0.027    0.027 utils.py:5(<module>)
       53    0.000    0.000    0.027    0.001 sre_compile.py:567(compile)
     1280    0.001    0.000    0.022    0.000 terrain.py:19(color)
     1280    0.006    0.000    0.020    0.000 terrain.py:235(gritify)
        1    0.000    0.000    0.020    0.020 viewport.py:12(__init__)
    29688    0.019    0.000    0.019    0.000 simplex.py:565(fastfloor)
        1    0.002    0.002    0.018    0.018 __init__.py:6(<module>)
       38    0.017    0.000    0.017    0.000 {method 'convert_alpha' of 'pygame.Surface' objects}
    39367    0.016    0.000    0.016    0.000 simplex.py:521(dot2d)
       53    0.000    0.000    0.015    0.000 sre_parse.py:686(parse)
   162/53    0.001    0.000    0.014    0.000 sre_parse.py:310(_parse_sub)
   201/58    0.005    0.000    0.014    0.000 sre_parse.py:388(_parse)
      290    0.002    0.000    0.014    0.000 genericpath.py:26(isfile)
        5    0.004    0.001    0.014    0.003 chunk.py:53(load)
     3842    0.003    0.000    0.014    0.000 random.py:238(randint)
        1    0.003    0.003    0.013    0.013 __init__.py:45(<module>)
        1    0.000    0.000    0.013    0.013 mobmanager.py:5(<module>)
        1    0.001    0.001    0.013    0.013 mobspawner.py:5(<module>)
      296    0.012    0.000    0.012    0.000 {nt.stat}
       53    0.000    0.000    0.011    0.000 sre_compile.py:552(_code)
        1    0.004    0.004    0.011    0.011 urllib.py:23(<module>)
        1    0.001    0.001    0.011    0.011 weapon.py:5(<module>)
     3842    0.010    0.000    0.010    0.000 random.py:175(randrange)
        1    0.001    0.001    0.010    0.010 chunkmanager.py:1(<module>)
      262    0.008    0.000    0.009    0.000 function_base.py:3178(add_newdoc)
        1    0.009    0.009    0.009    0.009 __init__.py:84(<module>)
        1    0.000    0.000    0.008    0.008 platform.py:10(<module>)
        1    0.002    0.002    0.008    0.008 chunk.py:1(<module>)
       18    0.000    0.000    0.008    0.000 pkg_resources.py:460(add_entry)
   363/53    0.004    0.000    0.008    0.000 sre_compile.py:64(_compile)
        1    0.006    0.006    0.007    0.007 polynomial.py:48(<module>)
        1    0.001    0.001    0.007    0.007 ctypeslib.py:51(<module>)
        1    0.007    0.007    0.007    0.007 socket.py:45(<module>)
        1    0.002    0.002    0.007    0.007 index_tricks.py:1(<module>)
       28    0.001    0.000    0.007    0.000 pkg_resources.py:1882(find_on_path)
    29689    0.007    0.000    0.007    0.000 {math.sqrt}
        1    0.002    0.002    0.006    0.006 __init__.py:9(<module>)
        5    0.006    0.001    0.006    0.001 {pygame.image.save}
        1    0.001    0.001    0.006    0.006 random.py:40(<module>)
        1    0.000    0.000    0.006    0.006 orc.py:5(<module>)
        1    0.001    0.001    0.006    0.006 player.py:1(<module>)
        1    0.003    0.003    0.006    0.006 __init__.py:38(<module>)
        7    0.005    0.001    0.006    0.001 collections.py:293(namedtuple)
        1    0.002    0.002    0.006    0.006 entity.py:1(<module>)
        1    0.001    0.001    0.006    0.006 _internal.py:4(<module>)
        1    0.004    0.004    0.005    0.005 hermite_e.py:50(<module>)
        1    0.004    0.004    0.005    0.005 chebyshev.py:78(<module>)
        1    0.004    0.004    0.005    0.005 hermite.py:50(<module>)
        1    0.005    0.005    0.005    0.005 __init__.py:4(<module>)
        1    0.004    0.004    0.005    0.005 legendre.py:51(<module>)
     1329    0.004    0.000    0.005    0.000 line.py:10(__iter__)
        1    0.004    0.004    0.005    0.005 laguerre.py:50(<module>)
        6    0.000    0.000    0.005    0.001 __init__.py:257(load)
        1    0.004    0.004    0.005    0.005 case.py:1(<module>)
        1    0.002    0.002    0.005    0.005 npyio.py:1(<module>)
        6    0.000    0.000    0.005    0.001 string.py:148(substitute)
       34    0.004    0.000    0.005    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.001    0.001    0.005    0.005 Queue.py:1(<module>)
        1    0.001    0.001    0.005    0.005 bowshot.py:5(<module>)
        1    0.001    0.001    0.005    0.005 __init__.py:99(<module>)
        1    0.000    0.000    0.005    0.005 options.py:25(draw)
        1    0.000    0.000    0.004    0.004 pkg_resources.py:418(_build_master)
        1    0.000    0.000    0.004    0.004 pkg_resources.py:405(__init__)
        6    0.000    0.000    0.004    0.001 __init__.py:293(loads)
        6    0.000    0.000    0.004    0.001 decoder.py:361(decode)
        6    0.004    0.001    0.004    0.001 decoder.py:372(raw_decode)
     1721    0.001    0.000    0.004    0.000 sre_parse.py:210(get)
        6    0.003    0.001    0.004    0.001 {method 'render' of 'pygame.font.Font' objects}
        1    0.001    0.001    0.004    0.004 threading.py:1(<module>)
        2    0.002    0.001    0.003    0.002 function_base.py:1(<module>)
        1    0.001    0.001    0.003    0.003 ssl.py:88(<module>)
     2077    0.003    0.000    0.003    0.000 sre_parse.py:191(__next)
       12    0.000    0.000    0.003    0.000 {map}
        1    0.000    0.000    0.003    0.003 options.py:46(drawParty)
        1    0.003    0.003    0.003    0.003 hashlib.py:56(<module>)
        1    0.001    0.001    0.003    0.003 decoder.py:2(<module>)
       53    0.001    0.000    0.003    0.000 sre_compile.py:433(_compile_info)
        1    0.002    0.002    0.003    0.003 numeric.py:1(<module>)
        1    0.001    0.001    0.003    0.003 polynomial.py:3(<module>)
        1    0.000    0.000    0.003    0.003 urlparse.py:29(<module>)
        1    0.001    0.001    0.003    0.003 core.py:21(<module>)
     2386    0.003    0.000    0.003    0.000 tile.py:8(getGround)
        1    0.001    0.001    0.003    0.003 star.py:1(<module>)
        1    0.002    0.002    0.003    0.003 result.py:1(<module>)
        1    0.001    0.001    0.003    0.003 _datasource.py:33(<module>)
      134    0.001    0.000    0.003    0.000 sre_compile.py:228(_compile_charset)
        1    0.003    0.003    0.003    0.003 __init__.py:5(<module>)
        1    0.000    0.000    0.002    0.002 zipfile.py:3(<module>)
       44    0.002    0.000    0.002    0.000 {open}
     1280    0.002    0.000    0.002    0.000 mapcache.py:81(blend)
     4280    0.002    0.000    0.002    0.000 {range}
       39    0.002    0.000    0.002    0.000 {nt._isdir}
     1280    0.002    0.000    0.002    0.000 {method 'set_at' of 'pygame.Surface' objects}
     1103    0.001    0.000    0.002    0.000 tile.py:21(isTransparent)
        1    0.001    0.001    0.002    0.002 __init__.py:3(<module>)
     1597    0.002    0.000    0.002    0.000 vector.py:6(__init__)
        1    0.000    0.000    0.002    0.002 plistlib.py:51(<module>)
        1    0.000    0.000    0.002    0.002 viewport.py:74(draw)
        1    0.002    0.002    0.002    0.002 collections.py:1(<module>)
        1    0.001    0.001    0.002    0.002 decorators.py:15(<module>)
      134    0.001    0.000    0.002    0.000 sre_compile.py:256(_optimize_charset)
     1445    0.001    0.000    0.002    0.000 sre_parse.py:139(__getitem__)
        2    0.000    0.000    0.002    0.001 random.py:100(seed)
  509/199    0.002    0.000    0.002    0.000 sre_parse.py:149(getwidth)
        1    0.001    0.001    0.002    0.002 __init__.py:44(<module>)
        1    0.000    0.000    0.002    0.002 random.py:91(__init__)
     1280    0.001    0.000    0.002    0.000 tile.py:49(load)
        1    0.000    0.000    0.002    0.002 viewport.py:84(drawGame)
       18    0.000    0.000    0.002    0.000 mobmanager.py:69(loadEntity)
        2    0.002    0.001    0.002    0.001 {imp.find_module}
     2552    0.002    0.000    0.002    0.000 chunk.py:75(getTile)
        1    0.002    0.002    0.002    0.002 gameview.py:1(<module>)
        1    0.002    0.002    0.002    0.002 sprite.py:67(<module>)
        1    0.001    0.001    0.002    0.002 numerictypes.py:88(<module>)
       14    0.002    0.000    0.002    0.000 {nt.listdir}
        2    0.002    0.001    0.002    0.001 {function seed at 0x02D83530}
        1    0.002    0.002    0.002    0.002 {method 'copy' of 'pygame.Surface' objects}
        1    0.001    0.001    0.001    0.001 arraysetops.py:25(<module>)
        1    0.001    0.001    0.001    0.001 mapcache.py:1(<module>)
        2    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
        7    0.001    0.000    0.001    0.000 {method 'blit' of 'pygame.Surface' objects}
        5    0.000    0.000    0.001    0.000 mobmanager.py:75(load)
        1    0.001    0.001    0.001    0.001 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.001    0.001 zipfile.py:420(_ZipDecrypter)
        1    0.001    0.001    0.001    0.001 zipfile.py:433(_GenerateCRCTable)
        1    0.001    0.001    0.001    0.001 chunkgen.py:1(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:10(<module>)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
        3    0.001    0.000    0.001    0.000 {__import__}
        1    0.001    0.001    0.001    0.001 loader.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {pygame.event.pump}
        1    0.000    0.000    0.001    0.001 sndarray.py:58(<module>)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.001    0.001    0.001    0.001 imagecache.py:2(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
     6604    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     2300    0.001    0.000    0.001    0.000 vector.py:51(__getitem__)
     1043    0.001    0.000    0.001    0.000 sre_parse.py:204(match)
        1    0.001    0.001    0.001    0.001 utils.py:3(<module>)
     2392    0.001    0.000    0.001    0.000 {isinstance}
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
        1    0.000    0.000    0.001    0.001 output.py:10(draw)
       18    0.000    0.000    0.001    0.000 entity.py:105(load)
      452    0.001    0.000    0.001    0.000 vector.py:41(center)
        6    0.001    0.000    0.001    0.000 {method 'read' of 'file' objects}
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 player.py:16(__init__)
7122/6930    0.001    0.000    0.001    0.000 {len}
       14    0.000    0.000    0.001    0.000 pkg_resources.py:2288(from_location)
        3    0.000    0.000    0.001    0.000 pkgdata.py:34(getResource)
        1    0.000    0.000    0.001    0.001 player.py:130(load)
        1    0.001    0.001    0.001    0.001 arrayterator.py:9(<module>)
      573    0.001    0.000    0.001    0.000 chunkmanager.py:40(isLoaded)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
       40    0.000    0.000    0.001    0.000 core.py:106(get_object_signature)
        1    0.001    0.001    0.001    0.001 runner.py:1(<module>)
        1    0.001    0.001    0.001    0.001 arrayprint.py:4(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
     3110    0.001    0.000    0.001    0.000 {math.floor}
        2    0.001    0.000    0.001    0.000 cardinals.py:2(<module>)
        1    0.001    0.001    0.001    0.001 tempfile.py:18(<module>)
      558    0.001    0.000    0.001    0.000 string.py:158(convert)
        1    0.001    0.001    0.001    0.001 build.py:5(<module>)
       23    0.000    0.000    0.001    0.000 core.py:5915(__init__)
        1    0.000    0.000    0.001    0.001 output.py:5(__init__)
       23    0.000    0.000    0.001    0.000 core.py:5919(getdoc)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:1562(MemoizedZipManifests)
        1    0.000    0.000    0.001    0.001 decoder.py:17(_floatconstants)
     1785    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 {method 'decode' of 'str' objects}
     3289    0.001    0.000    0.001    0.000 chunk.py:29(getPos)
        1    0.001    0.001    0.001    0.001 defmatrix.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:748(subscribe)
        1    0.001    0.001    0.001    0.001 message.py:92(Message)
        7    0.000    0.000    0.001    0.000 pkg_resources.py:2892(<lambda>)
        7    0.000    0.000    0.001    0.000 pkg_resources.py:2412(activate)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
     4097    0.001    0.000    0.001    0.000 {method 'random' of '_random.Random' objects}
       18    0.000    0.000    0.001    0.000 pkg_resources.py:1850(find_distributions)
        1    0.000    0.000    0.001    0.001 zipfile.py:520(ZipExtFile)
       14    0.000    0.000    0.001    0.000 pkg_resources.py:2276(__init__)
       65    0.000    0.000    0.001    0.000 ntpath.py:173(split)
      485    0.001    0.000    0.001    0.000 urlparse.py:332(<genexpr>)
        1    0.000    0.000    0.001    0.001 quoprimime.py:27(<module>)
      485    0.001    0.000    0.001    0.000 urllib.py:1212(<genexpr>)
       24    0.000    0.000    0.001    0.000 pkg_resources.py:2811(_find_adapter)
        1    0.001    0.001    0.001    0.001 fftpack.py:32(<module>)
        1    0.000    0.000    0.001    0.001 numerictypes.py:300(_add_aliases)
        1    0.000    0.000    0.001    0.001 options.py:14(__init__)
       90    0.000    0.000    0.001    0.000 sre_parse.py:234(_class_escape)
        4    0.000    0.000    0.001    0.000 imagecache.py:26(getAnimation)
      146    0.000    0.000    0.001    0.000 sre_compile.py:428(_simple)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2571(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        3    0.000    0.000    0.000    0.000 {method 'fill' of 'pygame.Surface' objects}
      578    0.000    0.000    0.000    0.000 sre_parse.py:147(append)
       24    0.000    0.000    0.000    0.000 pkg_resources.py:2804(_get_mro)
      141    0.000    0.000    0.000    0.000 ntpath.py:95(splitdrive)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:937(resource_exists)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:209(get_provider)
      581    0.000    0.000    0.000    0.000 {getattr}
     1722    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       35    0.000    0.000    0.000    0.000 ntpath.py:212(dirname)
        1    0.000    0.000    0.000    0.000 world.py:163(loadParty)
       38    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
        1    0.000    0.000    0.000    0.000 party.py:51(load)
       28    0.000    0.000    0.000    0.000 re.py:148(sub)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:953(resource_stream)
       14    0.000    0.000    0.000    0.000 {nt.access}
       19    0.000    0.000    0.000    0.000 nosetester.py:138(__init__)
       55    0.000    0.000    0.000    0.000 utils.py:113(__call__)
      288    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       31    0.000    0.000    0.000    0.000 _inspect.py:157(formatargspec)
      699    0.000    0.000    0.000    0.000 sre_parse.py:135(__len__)
        4    0.000    0.000    0.000    0.000 ssl.py:111(_import_symbols)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1478(__init__)
       14    0.000    0.000    0.000    0.000 pkg_resources.py:1150(safe_name)
        1    0.000    0.000    0.000    0.000 warnings.py:49(filterwarnings)
       40    0.000    0.000    0.000    0.000 _inspect.py:118(getargspec)
        1    0.000    0.000    0.000    0.000 chunkmanager.py:8(__init__)
     1280    0.000    0.000    0.000    0.000 tile.py:5(__init__)
        1    0.000    0.000    0.000    0.000 mapcache.py:8(__init__)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1499(_has)
        6    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
       30    0.000    0.000    0.000    0.000 ntpath.py:62(join)
       70    0.000    0.000    0.000    0.000 pkg_resources.py:2048(_normalize_cached)
        1    0.000    0.000    0.000    0.000 arrow.py:5(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        5    0.000    0.000    0.000    0.000 abc.py:86(__new__)
       18    0.000    0.000    0.000    0.000 entity.py:20(__init__)
       21    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 simplex.py:41(__init__)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        7    0.000    0.000    0.000    0.000 pkg_resources.py:2488(insert_on)
        3    0.000    0.000    0.000    0.000 numeric.py:122(extend_all)
       72    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {nt.urandom}
        7    0.000    0.000    0.000    0.000 pkg_resources.py:2407(_get_metadata)
        8    0.000    0.000    0.000    0.000 abc.py:105(register)
        9    0.000    0.000    0.000    0.000 pkg_resources.py:2044(normalize_path)
      363    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
      781    0.000    0.000    0.000    0.000 {min}
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1482(_setup_prefix)
        1    0.000    0.000    0.000    0.000 terrain.py:2(<module>)
        1    0.000    0.000    0.000    0.000 soundcache.py:2(<module>)
        1    0.000    0.000    0.000    0.000 random.py:277(shuffle)
       36    0.000    0.000    0.000    0.000 {all}
       26    0.000    0.000    0.000    0.000 numerictypes.py:232(bitname)
     2020    0.000    0.000    0.000    0.000 {abs}
       14    0.000    0.000    0.000    0.000 pkg_resources.py:536(add)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
    54/43    0.000    0.000    0.000    0.000 {issubclass}
        2    0.000    0.000    0.000    0.000 cast.py:5(<module>)
        1    0.000    0.000    0.000    0.000 sysfont.py:21(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
     1512    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
      667    0.000    0.000    0.000    0.000 line.py:29(sign)
        1    0.000    0.000    0.000    0.000 _inspect.py:6(<module>)
        9    0.000    0.000    0.000    0.000 ntpath.py:482(abspath)
      108    0.000    0.000    0.000    0.000 sre_parse.py:266(_escape)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1394(has_metadata)
       53    0.000    0.000    0.000    0.000 sre_parse.py:187(__init__)
      364    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      259    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        9    0.000    0.000    0.000    0.000 extras.py:239(__init__)
        8    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 simplex.py:33(<module>)
        7    0.000    0.000    0.000    0.000 {dir}
        9    0.000    0.000    0.000    0.000 extras.py:243(getdoc)
       26    0.000    0.000    0.000    0.000 core.py:816(__init__)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1508(get_resource_stream)
       18    0.000    0.000    0.000    0.000 inventory.py:18(load)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1391(has_resource)
       31    0.000    0.000    0.000    0.000 _inspect.py:59(getargs)
        1    0.000    0.000    0.000    0.000 hex_codec.py:8(<module>)
      659    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        4    0.000    0.000    0.000    0.000 skeleton.py:45(__init__)
      960    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      313    0.000    0.000    0.000    0.000 collections.py:337(<genexpr>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:456(_set_array_types)
       96    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        8    0.000    0.000    0.000    0.000 core.py:7119(__init__)
        1    0.000    0.000    0.000    0.000 explosion.py:1(<module>)
      259    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
      189    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      812    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vector.py:1(<module>)
        9    0.000    0.000    0.000    0.000 ntpath.py:414(normpath)
       55    0.000    0.000    0.000    0.000 utils.py:157(deprecate)
        8    0.000    0.000    0.000    0.000 core.py:7124(getdoc)
        1    0.000    0.000    0.000    0.000 attack.py:5(<module>)
        1    0.000    0.000    0.000    0.000 wander.py:5(<module>)
      226    0.000    0.000    0.000    0.000 line.py:5(__init__)
        6    0.000    0.000    0.000    0.000 world.py:128(getEntityFromLocation)
       26    0.000    0.000    0.000    0.000 sre_parse.py:225(isname)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
       53    0.000    0.000    0.000    0.000 {_sre.compile}
        9    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1E229480}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1824(EggMetadata)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:239(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 follow.py:5(<module>)
        1    0.000    0.000    0.000    0.000 options.py:5(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 <string>:6(Chebyshev)
       18    0.000    0.000    0.000    0.000 core.py:900(__init__)
        1    0.000    0.000    0.000    0.000 compat.py:21(get_BytesIO)
       49    0.000    0.000    0.000    0.000 pkg_resources.py:2344(key)
       96    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        1    0.000    0.000    0.000    0.000 helper.py:3(<module>)
        3    0.000    0.000    0.000    0.000 headless.py:18(__init__)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utf_8.py:8(<module>)
       27    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
       14    0.000    0.000    0.000    0.000 pkg_resources.py:1158(safe_version)
        5    0.000    0.000    0.000    0.000 skeleton.py:21(__init__)
      106    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
       14    0.000    0.000    0.000    0.000 ntpath.py:198(splitext)
        1    0.000    0.000    0.000    0.000 numerictypes.py:284(_add_types)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
       36    0.000    0.000    0.000    0.000 collections.py:363(<genexpr>)
        1    0.000    0.000    0.000    0.000 symbol.py:3(<module>)
       74    0.000    0.000    0.000    0.000 _inspect.py:150(strseq)
      399    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 pkg_resources.py:1460(_fn)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        2    0.000    0.000    0.000    0.000 {eval}
        1    0.000    0.000    0.000    0.000 core.py:2568(MaskedArray)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.000    0.000 ready.py:5(<module>)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1378(__init__)
        1    0.000    0.000    0.000    0.000 locals.py:24(<module>)
       14    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        2    0.000    0.000    0.000    0.000 rat.py:18(__init__)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       41    0.000    0.000    0.000    0.000 stat.py:49(S_ISREG)
       24    0.000    0.000    0.000    0.000 vector.py:57(load)
        1    0.000    0.000    0.000    0.000 threading.py:1090(__init__)
        1    0.000    0.000    0.000    0.000 skeleton.py:5(<module>)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 magicmissile.py:5(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
       30    0.000    0.000    0.000    0.000 numerictypes.py:448(_add_array_type)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {pygame.transform.scale2x}
       12    0.000    0.000    0.000    0.000 ctypeslib.py:306(prep_simple)
        1    0.000    0.000    0.000    0.000 look.py:5(<module>)
        1    0.000    0.000    0.000    0.000 uu.py:31(<module>)
        1    0.000    0.000    0.000    0.000 bard.py:5(<module>)
        1    0.000    0.000    0.000    0.000 destroy.py:5(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quit.py:5(<module>)
       21    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
        1    0.000    0.000    0.000    0.000 party.py:5(<module>)
